date_utc_plus_8,gross_cashflow_usdt,trading_fee_usdt,net_funding_usdt,net_pnl_usdt,closed_pnl_usdt
2026-03-06,0,0,-0.00688331,-0.00688331,0
2026-03-07,-226.02609814,3.75986045,0.21871392,-229.56724467,-229.95636638
2026-03-08,-0.17440,7.00137239,0.04526504,-7.13050735,-7.29436015
2026-03-09,58.40700000,7.36950037,-0.01268455,51.02481511,51.02650457
2026-03-10,84.82900000,6.20632975,0.13903650,78.76170675,78.81550983
2026-03-11,53.88080,4.03103736,0.56585694,50.41561958,50.28748280
2026-03-12,49.32350000,3.89022156,0.16643350,45.59971194,45.80193415
2026-03-13,20.17860,2.34191396,0.11243570,17.94912174,18.57335363
2026-03-14,34.7731,2.35157228,0.37285283,32.79438055,32.40420973
2026-03-15,22.3543,1.16907538,0.65935858,21.84458320,21.75875507
2026-03-16,0,0.61613769,0.36632341,-0.24981428,0
2026-03-17,0,0.05435618,0.78072409,0.72636791,0
2026-03-18,32.2542,1.65796266,-0.13410054,30.46213680,30.96058466
2026-03-19,31.2346,2.88281771,0.02311680,28.37489909,29.01340502
2026-03-20,83.63980000,5.48021825,-0.03102205,78.12855970,77.19322026
2026-03-21,13.3959,1.29564052,0.14240471,12.24266419,12.37340073
2026-03-22,9.5178,0.77668501,0.16099430,8.90210929,8.92669863
2026-03-23,36.4336,2.39379353,0.12075989,34.16056636,34.13278786
2026-03-24,29.76940000,2.32570637,-0.01051767,27.43317596,27.51969686
2026-03-25,32.1525,2.07930838,0.11532658,30.18851820,29.93720607
2026-03-26,6.4325,1.06548726,0.00921529,5.37622803,5.92036223
2026-03-27,0,0.27182417,-0.32145087,-0.59327504,0
